alg_name,trial_num,runtime_mircosecs,result,gamma,max_iters,ds_path
TraceTriangleR,6,25176,120807,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleR,7,66590,185847,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleR,8,76849,181641,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleR,9,83464,180034,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleN,0,94255,187172,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleN,1,41861,148695,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleN,2,28283,176025,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleN,3,31226,244575,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleN,4,14097,138753,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleN,5,34504,181248,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleN,6,79734,146189,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleN,7,84141,218912,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleN,8,58220,207823,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleN,9,31315,157589,1.0,,data/twitch/PTBR/musae_PTBR_edges.csv
EigenTriangle,0,1133848,169299,,20,data/twitch/PTBR/musae_PTBR_edges.csv
EigenTriangle,1,605317,170423,,20,data/twitch/PTBR/musae_PTBR_edges.csv
EigenTriangle,2,486069,169431,,20,data/twitch/PTBR/musae_PTBR_edges.csv
EigenTriangle,3,717406,169357,,20,data/twitch/PTBR/musae_PTBR_edges.csv
EigenTriangle,4,467402,169240,,20,data/twitch/PTBR/musae_PTBR_edges.csv
EigenTriangle,5,289407,169188,,20,data/twitch/PTBR/musae_PTBR_edges.csv
EigenTriangle,6,479721,169900,,20,data/twitch/PTBR/musae_PTBR_edges.csv
EigenTriangle,7,303588,169781,,20,data/twitch/PTBR/musae_PTBR_edges.csv
EigenTriangle,8,402720,169799,,20,data/twitch/PTBR/musae_PTBR_edges.csv
EigenTriangle,9,861184,169211,,20,data/twitch/PTBR/musae_PTBR_edges.csv
Spectral Count,0,2712306,173510,,,data/twitch/PTBR/musae_PTBR_edges.csv
Spectral Count,1,4629351,173510,,,data/twitch/PTBR/musae_PTBR_edges.csv
Spectral Count,2,4884975,173510,,,data/twitch/PTBR/musae_PTBR_edges.csv
Spectral Count,3,4101387,173510,,,data/twitch/PTBR/musae_PTBR_edges.csv
Spectral Count,4,4092971,173510,,,data/twitch/PTBR/musae_PTBR_edges.csv
Spectral Count,5,5730379,173510,,,data/twitch/PTBR/musae_PTBR_edges.csv
Spectral Count,6,5043649,173510,,,data/twitch/PTBR/musae_PTBR_edges.csv
Spectral Count,7,9022305,173510,,,data/twitch/PTBR/musae_PTBR_edges.csv
Spectral Count,8,6221735,173510,,,data/twitch/PTBR/musae_PTBR_edges.csv
Spectral Count,9,3107339,173510,,,data/twitch/PTBR/musae_PTBR_edges.csv
TraceTriangleR,0,54156,66180,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleR,1,39762,72042,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleR,2,77365,66699,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleR,3,57979,87039,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleR,4,47206,57238,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleR,5,79442,99446,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleR,6,67001,63352,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleR,7,167415,81065,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleR,8,227360,54953,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleR,9,76824,69311,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleN,0,200854,50106,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleN,1,225606,83514,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleN,2,177155,75338,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleN,3,260286,66516,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleN,4,187269,77020,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleN,5,226674,75666,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleN,6,167040,67836,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleN,7,157109,88993,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleN,8,152430,78362,1.0,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleN,9,234468,95992,1.0,,data/twitch/RU/musae_RU_edges.csv
EigenTriangle,0,3286024,61656,,20,data/twitch/RU/musae_RU_edges.csv
EigenTriangle,1,3543008,61715,,20,data/twitch/RU/musae_RU_edges.csv
EigenTriangle,2,3261836,61572,,20,data/twitch/RU/musae_RU_edges.csv
EigenTriangle,3,2183003,61584,,20,data/twitch/RU/musae_RU_edges.csv
EigenTriangle,4,3362830,61771,,20,data/twitch/RU/musae_RU_edges.csv
EigenTriangle,5,4213024,61607,,20,data/twitch/RU/musae_RU_edges.csv
EigenTriangle,6,2382758,61713,,20,data/twitch/RU/musae_RU_edges.csv
EigenTriangle,7,2033308,61765,,20,data/twitch/RU/musae_RU_edges.csv
EigenTriangle,8,1780340,61690,,20,data/twitch/RU/musae_RU_edges.csv
EigenTriangle,9,2757504,61669,,20,data/twitch/RU/musae_RU_edges.csv
Spectral Count,0,3337935,71445,,,data/twitch/RU/musae_RU_edges.csv
Spectral Count,1,9110912,71445,,,data/twitch/RU/musae_RU_edges.csv
Spectral Count,2,13652761,71445,,,data/twitch/RU/musae_RU_edges.csv
Spectral Count,3,7096473,71445,,,data/twitch/RU/musae_RU_edges.csv
Spectral Count,4,11044661,71445,,,data/twitch/RU/musae_RU_edges.csv
Spectral Count,5,9417929,71445,,,data/twitch/RU/musae_RU_edges.csv
Spectral Count,6,15142828,71445,,,data/twitch/RU/musae_RU_edges.csv
Spectral Count,7,4692250,71445,,,data/twitch/RU/musae_RU_edges.csv
Spectral Count,8,10360416,71445,,,data/twitch/RU/musae_RU_edges.csv
Spectral Count,9,6454923,71445,,,data/twitch/RU/musae_RU_edges.csv
TraceTriangleR,0,225948,346556,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleR,1,98913,399246,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleR,2,119159,365680,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleR,3,80286,452318,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleR,4,112738,358437,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleR,5,134506,253027,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleR,6,142857,295445,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleR,7,124691,369847,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleR,8,93521,399751,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleR,9,57783,244643,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleN,0,44892,302367,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleN,1,30940,356009,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleN,2,57669,277695,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleN,3,58353,324414,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleN,4,103141,445149,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleN,5,58137,322593,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleN,6,133924,309992,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleN,7,95365,315441,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleN,8,82381,417201,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
TraceTriangleN,9,147100,399564,1.0,,data/wikipedia/chameleon/musae_chameleon_edges.csv
EigenTriangle,0,1524064,339755,,20,data/wikipedia/chameleon/musae_chameleon_edges.csv
EigenTriangle,1,787084,339891,,20,data/wikipedia/chameleon/musae_chameleon_edges.csv
EigenTriangle,2,731513,339947,,20,data/wikipedia/chameleon/musae_chameleon_edges.csv
EigenTriangle,3,1091674,339880,,20,data/wikipedia/chameleon/musae_chameleon_edges.csv
EigenTriangle,4,1020663,339166,,20,data/wikipedia/chameleon/musae_chameleon_edges.csv
EigenTriangle,5,904938,339645,,20,data/wikipedia/chameleon/musae_chameleon_edges.csv
EigenTriangle,6,985074,338829,,20,data/wikipedia/chameleon/musae_chameleon_edges.csv
